n,dim,engine,bit_width,params,build_s,size_bytes,bytes_per_vec,qps,lat_ms_p50,lat_ms_p99,recall@1,recall@10,recall@100,n_queries
10000,10,turbovec,2,pad_dim=16,0.018,80146,8.01,162218.4,0.0546,0.0771,0.189,0.4434,0.7946,1000
10000,10,faiss_opq,2,"OPQ2,PQ2",5.897,30797,3.08,39955.6,0.0272,0.0366,0.039,0.2084,0.6928,1000
10000,10,turbovec,4,pad_dim=16,0.054,120146,12.01,154300.8,0.0534,0.0699,0.602,0.7849,0.9355,1000
10000,10,faiss_opq,4,"OPQ5,PQ5",12.8,60797,6.08,30389.4,0.0339,0.0421,0.284,0.5526,0.881,1000
10000,100,turbovec,2,pad_dim=104,0.026,300850,30.09,119803.3,0.0662,0.0879,0.204,0.4214,0.8339,1000
10000,100,faiss_opq,2,"OPQ25,PQ25",73.585,392557,39.26,9792.4,0.1068,0.1277,0.12,0.3402,0.8005,1000
10000,100,turbovec,4,pad_dim=104,0.062,560850,56.09,131479.7,0.0731,0.0953,0.593,0.7587,0.9341,1000
10000,100,faiss_opq,4,"OPQ50,PQ50",132.949,642557,64.26,5712.9,0.1763,0.2134,0.403,0.6243,0.8995,1000
10000,500,turbovec,2,pad_dim=504,0.049,1304050,130.41,88277.4,0.1141,0.137,0.208,0.4326,0.8294,1000
10000,500,faiss_opq,2,"OPQ125,PQ125",374.346,2762157,276.22,1744.6,0.5837,0.6667,0.161,0.366,0.8038,1000
10000,500,turbovec,4,pad_dim=504,0.092,2564050,256.4,69114.6,0.1487,0.1805,0.584,0.7431,0.929,1000
10000,500,faiss_opq,4,"OPQ250,PQ250",674.739,4012157,401.22,821.3,1.1993,1.3714,0.418,0.6497,0.9012,1000
100000,10,turbovec,2,pad_dim=16,0.026,800146,8.0,64216.5,0.1615,0.1829,0.087,0.2863,0.5775,1000
100000,10,faiss_opq,2,"OPQ2,PQ2",6.682,210797,2.11,11016.3,0.0904,0.254,0.012,0.0756,0.3129,1000
100000,10,turbovec,4,pad_dim=16,0.072,1200146,12.0,52286.1,0.169,0.2064,0.532,0.7225,0.8569,1000
100000,10,faiss_opq,4,"OPQ5,PQ5",14.344,510797,5.11,6467.1,0.1545,0.1729,0.172,0.3748,0.6554,1000
100000,100,turbovec,2,pad_dim=104,0.063,3000850,30.01,36812.7,0.2215,0.2969,0.153,0.3091,0.5867,1000
100000,100,faiss_opq,2,"OPQ25,PQ25",80.599,2642557,26.43,1351.4,0.74,0.8704,0.054,0.181,0.4711,1000
100000,100,turbovec,4,pad_dim=104,0.118,5600850,56.01,39770.1,0.2966,0.3553,0.568,0.6947,0.836,1000
100000,100,faiss_opq,4,"OPQ50,PQ50",144.239,5142557,51.43,635.5,1.4347,1.7565,0.274,0.4627,0.6999,1000
100000,500,turbovec,2,pad_dim=504,0.33,13004050,130.04,17959.5,0.5504,0.6796,0.155,0.3324,0.5893,1000
100000,500,faiss_opq,2,"OPQ125,PQ125",416.815,14012157,140.12,196.3,5.0617,5.7568,0.079,0.2066,0.477,1000
100000,500,turbovec,4,pad_dim=504,1.108,25604050,256.04,14067.6,0.8792,1.0233,0.535,0.6912,0.8281,1000
100000,500,faiss_opq,4,"OPQ250,PQ250",721.008,26512157,265.12,91.2,10.8649,12.4366,0.348,0.4868,0.7039,1000
1000000,10,turbovec,2,pad_dim=16,0.125,8000146,8.0,8879.8,0.9841,1.1926,0.042,0.1916,0.4257,1000
1000000,10,faiss_opq,2,"OPQ2,PQ2",7.63,2010797,2.01,1567.5,0.636,0.7393,0.007,0.043,0.1575,1000
1000000,10,turbovec,4,pad_dim=16,0.177,12000146,12.0,8364.8,1.0505,1.203,0.54,0.6874,0.8103,1000
1000000,10,faiss_opq,4,"OPQ5,PQ5",15.853,5010797,5.01,773.1,1.2832,1.428,0.136,0.2964,0.5334,1000
1000000,100,turbovec,2,pad_dim=104,0.746,30000850,30.0,6389.6,1.549,1.7046,0.157,0.3126,0.5866,1000
1000000,100,faiss_opq,2,"OPQ25,PQ25",92.969,25142557,25.14,138.8,7.1189,8.4144,0.051,0.1631,0.4445,1000
1000000,100,turbovec,4,pad_dim=104,1.0,56000850,56.0,3796.4,2.2755,2.6777,0.555,0.7058,0.8371,1000
1000000,100,faiss_opq,4,"OPQ50,PQ50",163.599,50142557,50.14,71.1,13.2951,16.0858,0.229,0.4342,0.6792,1000
1000000,500,turbovec,2,pad_dim=504,4.815,130004050,130.0,2710.2,4.3653,5.1398,0.165,0.3361,0.5871,1000
1000000,500,faiss_opq,2,"OPQ125,PQ125",493.433,126512157,126.51,19.7,49.0777,52.2624,0.062,0.1729,0.4555,1000
1000000,500,turbovec,4,pad_dim=504,14.678,256004050,256.0,1386.3,8.0595,8.7587,0.566,0.6945,0.8273,1000
1000000,500,faiss_opq,4,"OPQ250,PQ250",836.656,251512157,251.51,9.0,110.5422,119.7816,0.267,0.4523,0.6815,1000
10000000,10,turbovec,2,pad_dim=16,1.308,80000146,8.0,435.3,9.1986,11.3644,0.004,0.0422,0.1883,500
10000000,10,faiss_opq,2,"OPQ2,PQ2",19.832,20010797,2.0,160.6,6.5133,7.3949,0.0,0.0074,0.0375,500
10000000,10,turbovec,4,pad_dim=16,1.757,120000146,12.0,490.4,9.9503,13.3989,0.352,0.5352,0.6961,500
10000000,10,faiss_opq,4,"OPQ5,PQ5",37.101,50010797,5.0,76.2,13.5703,15.722,0.052,0.1484,0.302,500
10000000,100,turbovec,2,pad_dim=104,33.57,300000850,30.0,558.1,15.9001,18.3832,0.084,0.1792,0.3239,500
10000000,100,faiss_opq,2,"OPQ25,PQ25",261.347,250142557,25.01,13.8,74.5485,81.4422,0.014,0.0578,0.1667,500
10000000,100,turbovec,4,pad_dim=104,47.023,560000850,56.0,417.5,23.204,28.9665,0.438,0.6144,0.7121,500
10000000,100,faiss_opq,4,"OPQ50,PQ50",400.127,500142557,50.01,7.1,136.234,167.9638,0.182,0.296,0.4494,500
10000,10,faiss_opq_ivf,2,"OPQ2,IVF256,PQ2 nprobe=16",6.143,123179,12.32,107556.3,0.0109,0.0148,0.165,0.4081,0.8039,1000
10000,10,faiss_opq_ivf,4,"OPQ5,IVF256,PQ5 nprobe=16",13.114,153179,15.32,104548.1,0.0123,0.0249,0.587,0.8075,0.9447,1000
10000,100,faiss_opq_ivf,2,"OPQ25,IVF256,PQ25 nprobe=16",73.829,577099,57.71,51264.1,0.0243,0.03,0.304,0.5496,0.8685,1000
10000,100,faiss_opq_ivf,4,"OPQ50,IVF256,PQ50 nprobe=16",133.517,827099,82.71,40991.0,0.0297,0.0388,0.7,0.8347,0.9547,1000
10000,500,faiss_opq_ivf,2,"OPQ125,IVF256,PQ125 nprobe=16",374.94,3356299,335.63,14908.7,0.089,0.1092,0.311,0.5402,0.8622,1000
10000,500,faiss_opq_ivf,4,"OPQ250,IVF256,PQ250 nprobe=16",677.424,4606299,460.63,8404.5,0.135,0.1733,0.734,0.8389,0.9545,1000
100000,10,faiss_opq_ivf,2,"OPQ2,IVF1264,PQ2 nprobe=79",11.182,1071563,10.72,30670.0,0.0353,0.0425,0.095,0.2637,0.5579,1000
100000,10,faiss_opq_ivf,4,"OPQ5,IVF1264,PQ5 nprobe=79",20.62,1371563,13.72,28986.3,0.0381,0.0475,0.494,0.7281,0.8843,1000
100000,100,faiss_opq_ivf,2,"OPQ25,IVF1264,PQ25 nprobe=79",115.987,3958363,39.58,13828.8,0.081,0.1194,0.238,0.4257,0.6619,1000
100000,100,faiss_opq_ivf,4,"OPQ50,IVF1264,PQ50 nprobe=79",200.829,6458363,64.58,10194.1,0.1037,0.1243,0.688,0.7944,0.8907,1000
100000,500,faiss_opq_ivf,2,"OPQ125,IVF1264,PQ125 nprobe=79",594.305,17350363,173.5,3845.2,0.3074,0.375,0.234,0.4012,0.645,1000
100000,500,faiss_opq_ivf,4,"OPQ250,IVF1264,PQ250 nprobe=79",1028.966,29850363,298.5,1428.8,0.7478,1.7783,0.714,0.8034,0.8902,1000
1000000,10,faiss_opq_ivf,2,"OPQ2,IVF2564,PQ2 nprobe=160",13.977,10133963,10.13,8041.8,0.1269,0.1465,0.065,0.1711,0.3894,1000
1000000,10,faiss_opq_ivf,4,"OPQ5,IVF2564,PQ5 nprobe=160",23.919,13133963,13.13,6375.7,0.1534,0.1893,0.396,0.6427,0.8142,1000
1000000,100,faiss_opq_ivf,2,"OPQ25,IVF2564,PQ25 nprobe=160",130.054,34188763,34.19,2273.4,0.4167,0.5173,0.195,0.3882,0.6323,1000
1000000,100,faiss_opq_ivf,4,"OPQ50,IVF2564,PQ50 nprobe=160",224.154,59188763,59.19,1397.8,0.7238,0.8706,0.635,0.7565,0.8711,1000
1000000,500,faiss_opq_ivf,2,"OPQ125,IVF2564,PQ125 nprobe=160",651.917,139660763,139.66,576.1,1.7499,1.9688,0.209,0.3934,0.631,1000
1000000,500,faiss_opq_ivf,4,"OPQ250,IVF2564,PQ250 nprobe=160",1131.65,264660763,264.66,172.1,5.868,6.5787,0.632,0.7675,0.8688,1000
10000000,10,faiss_opq_ivf,2,"OPQ2,IVF2564,PQ2 nprobe=160",35.447,100133963,10.01,1230.3,0.8102,0.8923,0.028,0.0658,0.178,500
10000000,10,faiss_opq_ivf,4,"OPQ5,IVF2564,PQ5 nprobe=160",55.087,130133963,13.01,950.9,1.0545,1.1643,0.228,0.4224,0.6473,500
10000000,100,faiss_opq_ivf,2,"OPQ25,IVF2564,PQ25 nprobe=160",283.582,331188763,33.12,312.9,3.2105,3.5534,0.138,0.2514,0.3915,500
10000000,100,faiss_opq_ivf,4,"OPQ50,IVF2564,PQ50 nprobe=160",443.703,581188763,58.12,168.7,5.9013,6.6341,0.566,0.699,0.7835,500
